Table,Year,MsCode,CatCode,HECCode,Estimate,RSE,LowerCIB,UpperCIB,Flag
T1,2016,M001,C000A,01.1,24.5,4.2,23.5,25.6,
T1,2016,M001,C000A,01.1.01,10.5,5,10,11.1,
T1,2016,M001,C000A,01.1.02,14,4.4,13.4,14.6,
T1,2016,M001,C000A,01.2,29.2,3.8,28.1,30.3,
T1,2016,M001,C000A,01.2.01,24.6,3.8,23.6,25.5,
T1,2016,M001,C000A,01.2.02,4.6,8.8,4.2,5,
T1,2016,M001,C000A,01.3,87.8,3.9,84.4,91.2,
T1,2016,M001,C000A,01.3.01,18.6,3.3,18,19.2,
T1,2016,M001,C000A,01.3.02,15.2,3.9,14.6,15.8,
T1,2016,M001,C000A,01.3.03,2.8,5.2,2.6,2.9,
T1,2016,M001,C000A,01.3.04,5.1,4.4,4.9,5.4,
T1,2016,M001,C000A,01.3.05,12.8,4.3,12.3,13.3,
T1,2016,M001,C000A,01.3.06,33.3,9.1,30.3,36.3,
T1,2016,M001,C000A,01.4,11.7,5,11.1,12.3,
T1,2016,M001,C000A,01.4.01,3.8,6.9,3.5,4,
T1,2016,M001,C000A,01.4.02,7.9,6.4,7.4,8.4,
T1,2016,M001,C000A,01.5,60.7,6,57,64.4,
T1,2016,M001,C000A,01.5.01,23.6,8.5,21.6,25.6,
T1,2016,M001,C000A,01.5.02,36.4,6.1,34.2,38.6,
T1,2016,M001,C000A,01.5.03,0.7,97.5,0,1.4,
T1,2016,M001,C000A,01,213.9,3.2,207,220.7,
T1,2016,M001,C000A,02.1,21.2,8.2,19.4,22.9,
T1,2016,M001,C000A,02.1.01,7.2,11.1,6.4,8,
T1,2016,M001,C000A,02.1.02,8.8,9.3,8,9.6,
T1,2016,M001,C000A,02.1.03,2.3,20.7,1.8,2.8,
T1,2016,M001,C000A,02.1.04,2.9,25.2,2.2,3.7,
T1,2016,M001,C000A,02.2,9.2,13.7,8,10.5,
T1,2016,M001,C000A,02.2.00,9.2,13.7,8,10.5,
T1,2016,M001,C000A,02.3,,,,,S
T1,2016,M001,C000A,02.3.00,,,,,S
T1,2016,M001,C000A,02,30.4,7.6,28.1,32.7,
T1,2016,M001,C000A,03.1,29.3,10,26.4,32.2,
T1,2016,M001,C000A,03.1.01,6.3,12.4,5.5,7.1,
T1,2016,M001,C000A,03.1.02,5.5,21.8,4.3,6.6,
T1,2016,M001,C000A,03.1.03,12.3,15.3,10.4,14.2,
T1,2016,M001,C000A,03.1.04,2.9,23.6,2.2,3.6,
T1,2016,M001,C000A,03.1.05,0.8,23.5,0.6,1,
T1,2016,M001,C000A,03.1.06,0.7,27.3,0.5,0.9,
T1,2016,M001,C000A,03.1.07,0.9,23.5,0.7,1.1,
T1,2016,M001,C000A,03.2,7.4,16.1,6.2,8.6,
T1,2016,M001,C000A,03.2.01,2.1,29.2,1.5,2.7,
T1,2016,M001,C000A,03.2.02,1.2,35,0.8,1.6,
T1,2016,M001,C000A,03.2.03,3.2,28.4,2.3,4.1,
T1,2016,M001,C000A,03.2.04,0.6,28.6,0.4,0.8,
T1,2016,M001,C000A,03.2.05,0.3,51.5,0.1,0.4,
T1,2016,M001,C000A,03,36.7,10,33.1,40.4,
T1,2016,M001,C000A,04.1,101.4,7.1,94.2,108.6,
T1,2016,M001,C000A,04.1.01,99.2,7.2,92.1,106.3,
T1,2016,M001,C000A,04.1.02,2.2,21.9,1.7,2.7,
T1,2016,M001,C000A,04.2,109.5,21.7,85.8,133.2,
T1,2016,M001,C000A,04.2.01,60.2,10.7,53.8,66.6,
T1,2016,M001,C000A,04.2.02,4.1,24.1,3.1,5.1,
T1,2016,M001,C000A,04.2.03,45.2,48.6,23.2,67.1,
T1,2016,M001,C000A,04.3,25.6,19.9,20.5,30.7,
T1,2016,M001,C000A,04.3.01,8.5,42.7,4.8,12.1,
T1,2016,M001,C000A,04.3.02,17.1,19.1,13.9,20.4,
T1,2016,M001,C000A,04.4,38.6,3.2,37.4,39.9,
T1,2016,M001,C000A,04.4.01,4.1,9,3.8,4.5,
